labels,recall,f1
一带一路,0.3333333333333333,0.5
上市,0.90625,0.8787878787878787
业绩下降,0.8,0.7804878048780488
业绩增长,0.5625,0.6000000000000001
中标,0.9642857142857143,0.9818181818181818
举牌,0.8,0.888888888888889
交易所关注,0.8,0.7272727272727272
交易所处罚,0.4666666666666667,0.608695652173913
交易所问询,1.0,0.9743589743589743
借壳,0.8064516129032258,0.8771929824561403
停牌,0.9433962264150944,0.9345794392523364
其他公告,0.9944444444444445,0.9862258953168044
冲高,0.9166666666666666,0.9166666666666666
净利下降,0.7037037037037037,0.76
净利增长,0.9512195121951219,0.9176470588235294
减持,0.927536231884058,0.8311688311688311
分红,1.0,0.9310344827586207
创新低,0.0,0.0
创新高,0.8,0.8275862068965518
利好公告,0.9545454545454546,0.9767441860465117
利好消息,0.5925925925925926,0.40506329113924056
利差消息,0.4666666666666667,0.4912280701754386
募资,0.9487179487179487,0.9249999999999999
发展不利,0.5,0.6666666666666666
发行债券,0.9479166666666666,0.9479166666666666
发行股票,0.0,0.0
可转债,1.0,0.9863013698630138
回应传闻,0.75,0.8108108108108107
回购,0.8461538461538461,0.8461538461538461
基金,0.967741935483871,0.923076923076923
增持,0.9722222222222222,0.9655172413793104
复牌,0.9270833333333334,0.9319371727748692
大宗交易,0.7317073170731707,0.7792207792207793
官司案件违规违纪,0.74,0.7326732673267328
定期报告,0.9383259911894273,0.9424778761061946
客观涨,0.9315068493150684,0.9283276450511946
客观跌,0.8823529411764706,0.75
工商变更,1.0,0.9411764705882353
市场占有率利好,0.6666666666666666,0.8
异常交易,1.0,1.0
快速发展,0.6153846153846154,0.6486486486486486
战略合作,0.8205128205128205,0.810126582278481
投建,0.8,0.888888888888889
投资,0.9,0.8181818181818182
拓展业务,0.8148148148148148,0.7213114754098361
挂牌,0.8181818181818182,0.8571428571428572
摘帽,0.9,0.9473684210526316
收购并购,0.9514563106796117,0.9702970297029703
改革,0.875,0.9333333333333333
政策利好,0.7407407407407407,0.7142857142857143
机构悲观,0.0,0.0
机构看好,0.8888888888888888,0.8727272727272727
板块走弱,0.2727272727272727,0.3529411764705882
概念板块走强,0.8363636363636363,0.8141592920353982
注册资本变更,0.2,0.33333333333333337
混改,0.5,0.5714285714285715
登上龙虎榜,0.8888888888888888,0.9411764705882353
经营权变更,0.0,0.0
绩优股,0.25,0.4
聘请高管,0.8,0.8421052631578948
股价倒挂,1.0,1.0
股权激励,0.813953488372093,0.8641975308641974
股权转让,0.9761904761904762,0.9425287356321839
董事会股东会监事会,1.0,0.9575471698113208
证券资讯,1.0,1.0
证监会受理,0.8888888888888888,0.9411764705882353
证监会处罚,0.8235294117647058,0.8235294117647058
证监会核准,0.875,0.9333333333333333
评级下调,1.0,1.0
评级利好,0.8947368421052632,0.918918918918919
质押,0.9487179487179487,0.9736842105263158
资产冻结,1.0,1.0
资产重组,0.9772727272727273,0.8958333333333334
资金流入,0.6875,0.6875
资金流出,0.5625,0.6206896551724138
退市,1.0,1.0
预计下滑,0.7142857142857143,0.7142857142857143
预计增长,0.9032258064516129,0.9180327868852459
首次公开发行股票,0.5833333333333334,0.6666666666666666
高管减持或离职,0.8148148148148148,0.8979591836734693
